workflow,package_index,section,chars,tokens_est,section_tokens,pct_of_prompt,cost_usd,quality_roi,static_or_dynamic,calibration,notes
Weekly Strategy,strategy,Product Brain,2257,565,565,9.59,0.000315,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Weekly Strategy,strategy,Hard Constraints,244,61,61,1.04,0.000034,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Weekly Strategy,strategy,Pain Points,1667,417,417,7.08,0.000233,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Weekly Strategy,strategy,Proof Pool,819,205,205,3.48,0.000114,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Weekly Strategy,strategy,Scenario Pool,3286,822,822,13.96,0.000459,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Weekly Strategy,strategy,Task / Output JSON Shape,1045,262,262,4.45,0.000146,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Weekly Strategy,strategy,unallocated_missing_context,0,0,3557,60.40,0.001985,Unknown,dynamic,measured_plus_unallocated_missing_context,Exact telemetry exceeds reconstructed text; likely persisted visual/attention/identity/medium context.
Direction,0,System Prompt,341,86,86,5.32,0.001811,Critical,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,0,Unlabelled Prompt,73,19,19,1.18,0.000400,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,0,Product Brain,1897,475,475,29.39,0.010001,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,0,Strategy Item,158,40,40,2.48,0.000842,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,0,Run Context,156,39,39,2.41,0.000821,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,0,Anti-Repetition / Recent Memory,159,40,40,2.48,0.000842,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,0,Direction Definition,448,112,112,6.93,0.002358,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,0,Hard Constraints,471,118,118,7.30,0.002484,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,0,Output JSON Shape,507,127,127,7.86,0.002674,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,0,unallocated_missing_context,0,0,560,34.65,0.011790,Unknown,dynamic,measured_plus_unallocated_missing_context,Exact telemetry exceeds reconstructed text; likely persisted visual/attention/identity/medium context.
Direction Evaluation,0,System Prompt,275,69,67,2.71,0.000970,Critical,static,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Direction Evaluation,0,Unlabelled Prompt,72,18,17,0.69,0.000246,Unknown,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Direction Evaluation,0,Strategy Item,678,170,166,6.71,0.002403,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Direction Evaluation,0,Anti-Repetition / Recent Memory,44,11,10,0.40,0.000145,Unknown,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Direction Evaluation,0,Scoring Instructions,155,39,38,1.54,0.000550,Unknown,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Direction Evaluation,0,Selected Directions / Concepts,1136,284,278,11.23,0.004025,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Direction Evaluation,0,Selected Directions / Concepts,1144,286,281,11.35,0.004069,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Direction Evaluation,0,Selected Directions / Concepts,1182,296,290,11.72,0.004199,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Direction Evaluation,0,Selected Directions / Concepts,1181,296,290,11.72,0.004199,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Direction Evaluation,0,Selected Directions / Concepts,1224,306,300,12.12,0.004344,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Direction Evaluation,0,Selected Directions / Concepts,1249,313,307,12.40,0.004445,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Direction Evaluation,0,Selected Directions / Concepts,1224,306,300,12.12,0.004344,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Direction Evaluation,0,Output JSON Shape,535,134,131,5.29,0.001897,Useful,static,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Ideation,0,System Prompt,240,60,60,1.80,0.003663,Critical,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,0,Unlabelled Prompt,182,46,46,1.38,0.002808,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,0,Product Brain,1925,482,482,14.48,0.029428,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,0,Strategy Item,158,40,40,1.20,0.002442,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,0,Run Context,190,48,48,1.44,0.002931,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,0,Available Assets,250,63,63,1.89,0.003846,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,0,Anti-Repetition / Recent Memory,140,35,35,1.05,0.002137,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,0,Selected Directions / Concepts,77,20,20,0.60,0.001221,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,0,Selected Directions / Concepts,899,225,225,6.76,0.013737,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,0,Selected Directions / Concepts,889,223,223,6.70,0.013615,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,0,Selected Directions / Concepts,924,231,231,6.94,0.014103,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,0,Selected Directions / Concepts,865,217,217,6.52,0.013249,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,0,Hard Constraints,1238,310,310,9.31,0.018927,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,0,Output JSON Shape,1398,350,350,10.51,0.021369,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,0,unallocated_missing_context,0,0,979,29.41,0.059771,Unknown,dynamic,measured_plus_unallocated_missing_context,Exact telemetry exceeds reconstructed text; likely persisted visual/attention/identity/medium context.
Presentation Generation,0,System Prompt,349,88,88,0.36,0.000449,Critical,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,0,Product Brain,2257,565,565,2.28,0.002882,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,0,Hard Constraints,244,61,61,0.25,0.000311,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,0,Pain Points,1667,417,417,1.68,0.002127,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,0,Proof Pool,819,205,205,0.83,0.001046,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,0,Scenario Pool,2338,585,585,2.36,0.002984,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,0,Website Rules,1506,377,377,1.52,0.001923,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,0,Funnel Asset Policy,347,87,87,0.35,0.000444,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,0,Strategy Item,158,40,40,0.16,0.000204,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,0,Creative Directive / Safety,862,216,216,0.87,0.001102,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,0,Creative Directive / Safety,624,156,156,0.63,0.000796,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,0,Package Diversity,707,177,177,0.71,0.000903,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
