workflow,package_index,section,tokens,cost_usd,calibration
Weekly Strategy,strategy,Product Brain,565,0.000315,measured_plus_unallocated_missing_context
Weekly Strategy,strategy,Hard Constraints,61,0.000034,measured_plus_unallocated_missing_context
Weekly Strategy,strategy,Pain Points,417,0.000233,measured_plus_unallocated_missing_context
Weekly Strategy,strategy,Proof Pool,205,0.000114,measured_plus_unallocated_missing_context
Weekly Strategy,strategy,Scenario Pool,822,0.000459,measured_plus_unallocated_missing_context
Weekly Strategy,strategy,Task / Output JSON Shape,262,0.000146,measured_plus_unallocated_missing_context
Weekly Strategy,strategy,unallocated_missing_context,3557,0.001985,measured_plus_unallocated_missing_context
Direction,0,System Prompt,86,0.001811,measured_plus_unallocated_missing_context
Direction,0,Unlabelled Prompt,19,0.000400,measured_plus_unallocated_missing_context
Direction,0,Product Brain,475,0.010001,measured_plus_unallocated_missing_context
Direction,0,Strategy Item,40,0.000842,measured_plus_unallocated_missing_context
Direction,0,Run Context,39,0.000821,measured_plus_unallocated_missing_context
Direction,0,Anti-Repetition / Recent Memory,40,0.000842,measured_plus_unallocated_missing_context
Direction,0,Direction Definition,112,0.002358,measured_plus_unallocated_missing_context
Direction,0,Hard Constraints,118,0.002484,measured_plus_unallocated_missing_context
Direction,0,Output JSON Shape,127,0.002674,measured_plus_unallocated_missing_context
Direction,0,unallocated_missing_context,560,0.011790,measured_plus_unallocated_missing_context
Direction Evaluation,0,System Prompt,67,0.000970,scaled_down_to_telemetry
Direction Evaluation,0,Unlabelled Prompt,17,0.000246,scaled_down_to_telemetry
Direction Evaluation,0,Strategy Item,166,0.002403,scaled_down_to_telemetry
Direction Evaluation,0,Anti-Repetition / Recent Memory,10,0.000145,scaled_down_to_telemetry
Direction Evaluation,0,Scoring Instructions,38,0.000550,scaled_down_to_telemetry
Direction Evaluation,0,Selected Directions / Concepts,278,0.004025,scaled_down_to_telemetry
Direction Evaluation,0,Selected Directions / Concepts,281,0.004069,scaled_down_to_telemetry
Direction Evaluation,0,Selected Directions / Concepts,290,0.004199,scaled_down_to_telemetry
Direction Evaluation,0,Selected Directions / Concepts,290,0.004199,scaled_down_to_telemetry
Direction Evaluation,0,Selected Directions / Concepts,300,0.004344,scaled_down_to_telemetry
Direction Evaluation,0,Selected Directions / Concepts,307,0.004445,scaled_down_to_telemetry
Direction Evaluation,0,Selected Directions / Concepts,300,0.004344,scaled_down_to_telemetry
Direction Evaluation,0,Output JSON Shape,131,0.001897,scaled_down_to_telemetry
Ideation,0,System Prompt,60,0.003663,measured_plus_unallocated_missing_context
Ideation,0,Unlabelled Prompt,46,0.002808,measured_plus_unallocated_missing_context
Ideation,0,Product Brain,482,0.029428,measured_plus_unallocated_missing_context
Ideation,0,Strategy Item,40,0.002442,measured_plus_unallocated_missing_context
Ideation,0,Run Context,48,0.002931,measured_plus_unallocated_missing_context
Ideation,0,Available Assets,63,0.003846,measured_plus_unallocated_missing_context
Ideation,0,Anti-Repetition / Recent Memory,35,0.002137,measured_plus_unallocated_missing_context
Ideation,0,Selected Directions / Concepts,20,0.001221,measured_plus_unallocated_missing_context
Ideation,0,Selected Directions / Concepts,225,0.013737,measured_plus_unallocated_missing_context
Ideation,0,Selected Directions / Concepts,223,0.013615,measured_plus_unallocated_missing_context
Ideation,0,Selected Directions / Concepts,231,0.014103,measured_plus_unallocated_missing_context
Ideation,0,Selected Directions / Concepts,217,0.013249,measured_plus_unallocated_missing_context
Ideation,0,Hard Constraints,310,0.018927,measured_plus_unallocated_missing_context
Ideation,0,Output JSON Shape,350,0.021369,measured_plus_unallocated_missing_context
Ideation,0,unallocated_missing_context,979,0.059771,measured_plus_unallocated_missing_context
Presentation Generation,0,System Prompt,88,0.000449,measured_plus_unallocated_missing_context
Presentation Generation,0,Product Brain,565,0.002882,measured_plus_unallocated_missing_context
Presentation Generation,0,Hard Constraints,61,0.000311,measured_plus_unallocated_missing_context
Presentation Generation,0,Pain Points,417,0.002127,measured_plus_unallocated_missing_context
Presentation Generation,0,Proof Pool,205,0.001046,measured_plus_unallocated_missing_context
