package_index,status,title,funnel_stage,ai_cost_usd,media_est_usd,delivery_sec,image_count,vo_chars,error
0,completed,"The Silent Cost of a Website That Can't Talk Back",awareness,,0.35555000000000003,326.376,5,370,""
1,completed,"A Contact Form Is Not the Same as Being Available",problem_aware,,0.28559500000000004,1027.462,4,373,""
2,completed,"The Pitch That Almost Went Sideways",solution_aware,,0.35535500000000003,2305.185,5,357,""
3,completed,"The Six-Month Project That Took Six Minutes",conversion,,0.28637500000000005,2976.987,4,425,""
4,completed,"The Law Firm That Let Its Reputation Answer for It — At 11 PM",solution_aware,,0.286465,27246.891,4,431,""
5,completed,"Your Website Already Knows the Answers — You Just Never Unlocked Them",solution_aware,,0.28600000000000003,2081.121,4,400,""
6,completed,"The Chatbot Project That Never Launches",problem_aware,,0.286495,1735.772,4,433,""
7,completed,"The Before-and-After Nobody Talks About: What Happens When Your Site Finally Answers Back",problem_aware,,0.285175,1470.259,4,345,""
8,completed,"The Mistake Small Businesses Make About Being 'Reachable'",problem_aware,,0.28471,1902.334,4,314,""
9,completed,"The Worst Thing That Happens When You Never Build the Chatbot",solution_aware,,0.28561000000000003,2511.02,4,374,""
10,completed,"The Habit That's Quietly Costing You Every Lead",conversion,,0.28691500000000003,2762.561,4,461,""
11,completed,"The Last-Minute Lead You Never Knew You Lost",awareness,,0.35535500000000003,601.897,5,357,""
12,completed,"The Routine That's Costing You Leads Every Single Day",problem_aware,,0.28612000000000004,1289.209,4,408,""
13,completed,"The Accountant Who Came Back to Nothing",problem_aware,,0.286075,828.46,4,405,""
