call_index,attempt_index,step_name,provider,model,start_time,end_time,duration_ms,prompt_tokens,completion_tokens,estimated_cost,repair,retry_count,accepted,discarded,failure_reason,input_artifact_path,output_artifact_path
1,0,Weekly Strategy,claude,claude-sonnet-4-6,2026-07-24T00:31:31.644Z,2026-07-24T00:31:37.568Z,5925,3967,258,0.015771,False,0,true,,,reports/c26ec3c5-artifacts/call_001_meta.json,reports/c26ec3c5-artifacts/call_001_meta.json
2,0,Strategy Items,deterministic,,2026-07-24T00:31:37.569Z,2026-07-24T00:31:38.219Z,650,,,,False,0,true,,,reports/c26ec3c5-artifacts/call_002_meta.json,reports/c26ec3c5-artifacts/call_002_meta.json
3,0,Creative Direction Generation,claude,claude-sonnet-4-6,2026-07-24T00:31:41.921Z,2026-07-24T00:32:29.880Z,47960,2991,2218,0.042243,False,0,false,path_discarded,,reports/c26ec3c5-artifacts/call_003_meta.json,reports/c26ec3c5-artifacts/call_003_meta.json
4,0,Creative Direction Evaluation,claude,claude-sonnet-4-6,2026-07-24T00:32:29.911Z,2026-07-24T00:33:10.745Z,40834,3300,2151,0.042165,False,0,false,path_discarded,,reports/c26ec3c5-artifacts/call_004_meta.json,reports/c26ec3c5-artifacts/call_004_meta.json
5,0,Creative Ideation,claude,claude-sonnet-4-6,2026-07-24T00:33:10.747Z,2026-07-24T00:36:31.560Z,200822,5629,10086,0.168177,False,0,false,path_discarded,,reports/c26ec3c5-artifacts/call_005_meta.json,reports/c26ec3c5-artifacts/call_005_meta.json
6,0,Creative Evaluation,claude,claude-sonnet-4-6,2026-07-24T00:36:31.604Z,2026-07-24T00:37:12.656Z,41052,5179,1974,0.045147,False,0,false,path_discarded,,reports/c26ec3c5-artifacts/call_006_meta.json,reports/c26ec3c5-artifacts/call_006_meta.json
7,0,Creative Engine,claude,,2026-07-24T00:37:12.664Z,2026-07-24T00:37:12.664Z,0,,,,False,0,false,path_discarded,,reports/c26ec3c5-artifacts/call_007_meta.json,reports/c26ec3c5-artifacts/call_007_meta.json
8,0,Candidate Judge,deterministic,,2026-07-24T00:37:12.664Z,2026-07-24T00:37:12.664Z,0,,,,False,0,false,path_discarded,,reports/c26ec3c5-artifacts/call_008_meta.json,reports/c26ec3c5-artifacts/call_008_meta.json
9,0,Narrative Beats,deterministic,,2026-07-24T00:37:12.664Z,2026-07-24T00:37:12.675Z,11,,,,False,0,false,path_discarded,,reports/c26ec3c5-artifacts/call_009_meta.json,reports/c26ec3c5-artifacts/call_009_meta.json
10,0,Presentation Generation,claude,claude-sonnet-4-6,2026-07-24T00:37:12.704Z,2026-07-24T00:38:24.680Z,71976,24043,4096,0.133569,False,0,false,path_discarded,,reports/c26ec3c5-artifacts/call_010_meta.json,reports/c26ec3c5-artifacts/call_010_meta.json
11,0,Hook Enforcement,deterministic,,2026-07-24T00:38:24.683Z,2026-07-24T00:38:24.683Z,0,,,,False,0,false,path_discarded,,reports/c26ec3c5-artifacts/call_011_meta.json,reports/c26ec3c5-artifacts/call_011_meta.json
12,0,Concept Fidelity,deterministic,,2026-07-24T00:38:24.683Z,2026-07-24T00:38:24.703Z,20,,,,False,0,false,path_discarded,storyboard_collapsed_to_generic_office,reports/c26ec3c5-artifacts/call_012_meta.json,reports/c26ec3c5-artifacts/call_012_meta.json
13,2,Concept Fidelity Repair,claude,claude-sonnet-4-6,2026-07-24T00:38:24.709Z,2026-07-24T00:45:38.454Z,433745,17901,12288,0.238023,True,2,false,path_discarded,,reports/c26ec3c5-artifacts/call_013_meta.json,reports/c26ec3c5-artifacts/call_013_meta.json
14,0,JSON Repair,openai,gpt-4o-mini-2024-07-18,2026-07-24T00:39:29.598Z,2026-07-24T00:40:06.439Z,36842,3762,3664,0.002763,True,0,false,path_discarded,,reports/c26ec3c5-artifacts/call_014_meta.json,reports/c26ec3c5-artifacts/call_014_meta.json
15,0,JSON Repair,openai,gpt-4o-mini-2024-07-18,2026-07-24T00:40:06.441Z,2026-07-24T00:40:44.038Z,37597,3540,3664,0.002729,True,0,false,path_discarded,$.video.duration_seconds: expected string;$.platform_outputs.x: expected object,reports/c26ec3c5-artifacts/call_015_meta.json,reports/c26ec3c5-artifacts/call_015_meta.json
16,0,JSON Repair,openai,gpt-4o-mini-2024-07-18,2026-07-24T00:41:51.044Z,2026-07-24T00:42:32.801Z,41758,3764,3664,0.002763,True,0,false,path_discarded,,reports/c26ec3c5-artifacts/call_016_meta.json,reports/c26ec3c5-artifacts/call_016_meta.json
17,0,JSON Repair,openai,gpt-4o-mini-2024-07-18,2026-07-24T00:42:32.802Z,2026-07-24T00:43:10.525Z,37724,3558,3664,0.002732,True,0,false,path_discarded,$.video.duration_seconds: expected string;$.platform_outputs.x: expected object,reports/c26ec3c5-artifacts/call_017_meta.json,reports/c26ec3c5-artifacts/call_017_meta.json
18,0,JSON Repair,openai,gpt-4o-mini-2024-07-18,2026-07-24T00:44:16.532Z,2026-07-24T00:45:00.409Z,43877,3765,3665,0.002764,True,0,false,path_discarded,,reports/c26ec3c5-artifacts/call_018_meta.json,reports/c26ec3c5-artifacts/call_018_meta.json
